name,level,killCount,type,drop_name,drop_id,drop_quantity,drop_price,date
Vorkath,732,7,NPC,Superior dragon bones,22124,1,10141,"Apr 22, 2024, 9:50:15 PM"
Vorkath,732,7,NPC,Superior dragon bones,22124,1,10141,"Apr 22, 2024, 9:50:15 PM"
Vorkath,732,7,NPC,Blue dragonhide,1751,1,1435,"Apr 22, 2024, 9:50:15 PM"
Vorkath,732,7,NPC,Blue dragonhide,1751,1,1435,"Apr 22, 2024, 9:50:15 PM"
Vorkath,732,7,NPC,Rune longsword,1303,1,18395,"Apr 22, 2024, 9:50:15 PM"
Vorkath,732,7,NPC,Rune longsword,1303,1,18395,"Apr 22, 2024, 9:50:15 PM"
Vorkath,732,7,NPC,Red dragonhide,1750,23,1984,"Apr 22, 2024, 9:50:15 PM"
Vorkath,732,8,NPC,Superior dragon bones,22124,1,10141,"Apr 22, 2024, 9:57:13 PM"
Vorkath,732,8,NPC,Superior dragon bones,22124,1,10141,"Apr 22, 2024, 9:57:13 PM"
Vorkath,732,8,NPC,Blue dragonhide,1751,1,1435,"Apr 22, 2024, 9:57:13 PM"
Vorkath,732,8,NPC,Blue dragonhide,1751,1,1435,"Apr 22, 2024, 9:57:13 PM"
Vorkath,732,8,NPC,Scaly blue dragonhide,27897,1,325,"Apr 22, 2024, 9:57:13 PM"
Vorkath,732,8,NPC,Chaos rune,562,958,80,"Apr 22, 2024, 9:57:13 PM"
Vorkath,732,8,NPC,Dragon arrowtips,11237,33,1263,"Apr 22, 2024, 9:57:13 PM"
Vorkath,732,9,NPC,Superior dragon bones,22124,1,10165,"Apr 22, 2024, 9:59:56 PM"
Vorkath,732,9,NPC,Superior dragon bones,22124,1,10165,"Apr 22, 2024, 9:59:56 PM"
Vorkath,732,9,NPC,Blue dragonhide,1751,1,1458,"Apr 22, 2024, 9:59:56 PM"
Vorkath,732,9,NPC,Blue dragonhide,1751,1,1458,"Apr 22, 2024, 9:59:56 PM"
Vorkath,732,9,NPC,Manta ray,392,54,1697,"Apr 22, 2024, 9:59:56 PM"
Vorkath,732,9,NPC,Dragon arrowtips,11237,29,1302,"Apr 22, 2024, 9:59:56 PM"
Vorkath,732,10,NPC,Superior dragon bones,22124,1,10165,"Apr 22, 2024, 10:05:21 PM"
Vorkath,732,10,NPC,Superior dragon bones,22124,1,10165,"Apr 22, 2024, 10:05:21 PM"
Vorkath,732,10,NPC,Blue dragonhide,1751,1,1458,"Apr 22, 2024, 10:05:21 PM"
Vorkath,732,10,NPC,Blue dragonhide,1751,1,1458,"Apr 22, 2024, 10:05:21 PM"
Vorkath,732,10,NPC,Red dragonhide,1750,21,1974,"Apr 22, 2024, 10:05:21 PM"
Vorkath,732,10,NPC,Manta ray,392,36,1697,"Apr 22, 2024, 10:05:21 PM"
Vorkath,732,11,NPC,Superior dragon bones,22124,1,10165,"Apr 22, 2024, 10:08:47 PM"
Vorkath,732,11,NPC,Superior dragon bones,22124,1,10165,"Apr 22, 2024, 10:08:47 PM"
Vorkath,732,11,NPC,Blue dragonhide,1751,1,1458,"Apr 22, 2024, 10:08:47 PM"
Vorkath,732,11,NPC,Blue dragonhide,1751,1,1458,"Apr 22, 2024, 10:08:47 PM"
Vorkath,732,11,NPC,Dragon platelegs,4087,1,160712,"Apr 22, 2024, 10:08:47 PM"
Vorkath,732,11,NPC,Steel arrow,886,150,22,"Apr 22, 2024, 10:08:47 PM"
Vorkath,732,12,NPC,Superior dragon bones,22124,1,10165,"Apr 22, 2024, 10:15:22 PM"
Vorkath,732,12,NPC,Superior dragon bones,22124,1,10165,"Apr 22, 2024, 10:15:22 PM"
Vorkath,732,12,NPC,Blue dragonhide,1751,1,1458,"Apr 22, 2024, 10:15:22 PM"
Vorkath,732,12,NPC,Blue dragonhide,1751,1,1458,"Apr 22, 2024, 10:15:22 PM"
Vorkath,732,12,NPC,Rune longsword,1303,1,18290,"Apr 22, 2024, 10:15:22 PM"
Vorkath,732,12,NPC,Rune longsword,1303,1,18290,"Apr 22, 2024, 10:15:22 PM"
Vorkath,732,12,NPC,Rune longsword,1303,1,18290,"Apr 22, 2024, 10:15:22 PM"
Vorkath,732,12,NPC,Coins,995,60144,1,"Apr 22, 2024, 10:15:22 PM"
Vorkath,732,13,NPC,Superior dragon bones,22124,1,10069,"Apr 23, 2024, 7:09:02 PM"
Vorkath,732,13,NPC,Superior dragon bones,22124,1,10069,"Apr 23, 2024, 7:09:02 PM"
Vorkath,732,13,NPC,Blue dragonhide,1751,1,1464,"Apr 23, 2024, 7:09:02 PM"
